"","objectid","pcode","name","name_alt","iso3","focus_id","progres_id","source","startvalid","end_valid","status","updateby","st_area_sh","st_length_","globalid","shape_STAr","shape_STLe","province","all_ref"
"0",1506,"TR081","Ducze",NA,"TUR",NA,NA,"GADM",2013-07-02,NA,"To Validate FSHQ & Geoport.",NA,0,0,"{F0E5D837-9DDD-45F4-AA08-BDBFE40EBEF4}",4447159857.81,316654.102568,"Ducze",3166
"1",3935,"TR001","Adana",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{5C521981-34D4-48AA-8D20-3C31BF243D8F}",22330130218,976715.636534,"Adana",2575
"2",3936,"TR002","Adiyaman",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{A45A2B21-01A4-426B-98B2-9059327C939D}",12044125415.3,651518.925962,"Adiyaman",318
"3",3937,"TR003","Afyon",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{9FA864CD-6070-4962-BD17-42F88307DC0D}",23622377666.8,868488.505931,"Afyon",6654
"4",3938,"TR004","Agri",NA,"TUR",NA,NA,"GAUL, adjusted CartONG",2013-07-02,NA,"OK",NA,0,0,"{87956C7B-BDDB-4CFB-8C60-9CBDB3EBC5F7}",18857726043.5,852159.666989,"Agri",677
"5",3939,"TR005","Aksaray",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{94C56656-65E3-4402-9ECC-9ADB902369B2}",13205147725.6,517199.841852,"Aksaray",3706
"6",3940,"TR006","Amasya",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{7F38519E-39A8-43D1-B06B-62277F109D77}",9720777315.85,615900.822757,"Amasya",3577
"7",3941,"TR007","Ankara",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{430BA825-CDEB-46E3-83AA-D732DB445C4B}",42853455707.5,1406424.03592,"Ankara",3025
"8",3942,"TR008","Antalya",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{324B904C-E206-4344-9F0F-88C7B091CD05}",32309585989.5,1297778.12475,"Antalya",14
"9",3943,"TR009","Ardahan",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{FF79A1E6-4A9F-4554-B40B-768EBA37F294}",9302616336.83,499150.77993,"Ardahan",134
"10",3944,"TR010","Artvin",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{90654A1D-57AD-4313-81AD-0675C0F0C32C}",13030128985,564918.203165,"Artvin",188
"11",3945,"TR011","Aydin",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{69B2EBC3-7CBB-4971-BA50-0D2DFE4233FA}",12734218887,696492.850633,"Aydin",6
"12",3946,"TR012","Balikesir",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{FFE64725-903D-4650-9066-D5F0619FBF23}",24621691410,1354618.44157,"Balikesir",5026
"13",3947,"TR013","Bartin",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{898FF4AE-1AC7-4A91-AFDA-8E85BF0C7C26}",4151274317.16,308683.772454,"Bartin",0
"14",3948,"TR014","Batman",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{15DD68A3-6BAE-4895-B38B-13C9C774263B}",7229416112.87,475999.390754,"Batman",1809
"15",3949,"TR015","Bayburt",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{B21BF755-868C-4413-81C3-203D254912F1}",6385891073.13,407472.060163,"Bayburt",488
"16",3950,"TR016","Bilecik",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{BB91F41C-17B6-440F-94FC-33ED34D076A0}",7104833304.37,417394.596389,"Bilecik",7736
"17",3951,"TR017","Bingol",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{5A25EAE9-E7E9-4538-AB98-52BAFC061B6D}",14009322831.9,628682.895849,"Bingol",1
"18",3952,"TR018","Bitlis",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{843FA1B2-2D87-4511-A6A8-64418CF4AB33}",13720963136.2,611876.4142,"Bitlis",7
"19",3953,"TR019","Bolu",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{3B0B119C-35C5-4BE9-A881-5E1717D89BD3}",14846112515.4,676655.433435,"Bolu",4692
"20",3954,"TR020","Burdur",NA,"TUR",NA,NA,"GAUL",2013-07-02,NA,"OK",NA,0,0,"{E200252D-A0B1-4F30-A971-CFA20B82CF48}",11146917808.5,573189.256285,"Burdur",3665
